Name,Age,Position,HomeTeam,AwayTeam,HomeScore,Awayscore,HomeAwayStatus,MatchID,Date,Shots,ShotsOT,KeyPasses,PAPercentage,AerialsWon,Touches,Rating,Shots.1,ShotsOT.1,KeyPasses.1,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating.1,Tackles,Interceptions,Clearances,Blocks,Fouls,Rating.2,KeyPasses.2,Passes,PAPercentage.1,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating.3,Playtime
Declan Rudd,29,GK,Preston,Derby,0,1,0,1381809,01-Jul-20,1,0,0,71.0,1,37,6.39,1,0,0,0,0,0,0,0,6.39,0,0,0,0,0,6.39,0,31,71.0,0.0,0.0,21.0,12.0,0.0,0.0,6.39,90.0
Joseph Rafferty,26,DR,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,1,80.3,2,94,6.62,0,0,1,1,1,0,1,0,6.62,1,0,1,0,0,6.62,1,66,80.3,5.0,2.0,9.0,5.0,0.0,0.0,6.62,90.0
Ben Davies,24,DC,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,91.8,1,76,5.77,0,0,0,0,0,0,0,1,5.77,0,0,2,0,0,5.77,0,73,91.8,0.0,0.0,13.0,9.0,0.0,0.0,5.77,90.0
Paul Huntington,32,DC,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,92.6,4,61,6.70,0,0,0,0,1,0,0,0,6.70,1,1,2,1,1,6.70,0,54,92.6,0.0,0.0,8.0,5.0,0.0,0.0,6.70,90.0
Andrew Hughes,28,DL,Preston,Derby,0,1,0,1381809,01-Jul-20,2,0,0,83.3,2,63,6.21,2,0,0,0,1,0,1,0,6.21,1,1,1,0,0,6.21,0,42,83.3,0.0,0.0,3.0,1.0,0.0,0.0,6.21,90.0
Ben Pearson,25,DMC,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,2,88.9,2,64,6.69,0,0,2,0,1,0,0,0,6.69,1,3,1,0,3,6.69,2,54,88.9,0.0,0.0,6.0,4.0,0.0,0.0,6.69,76.0
Scott Sinclair,31,MR,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,73.3,0,36,6.09,0,0,0,2,2,0,6,5,6.09,1,1,0,0,0,6.09,0,15,73.3,0.0,0.0,1.0,0.0,0.0,0.0,6.09,72.0
Alan Browne,25,MC,Preston,Derby,0,1,0,1381809,01-Jul-20,2,0,0,79.5,3,68,6.53,2,0,0,2,1,0,2,7,6.53,0,2,1,0,1,6.53,0,39,79.5,3.0,0.0,1.0,0.0,0.0,0.0,6.53,90.0
Brad Potts,26,MC,Preston,Derby,0,1,0,1381809,01-Jul-20,1,1,1,92.9,0,50,7.00,1,1,1,5,0,0,1,1,7.00,0,1,0,0,1,7.00,1,28,92.9,3.0,1.0,0.0,0.0,0.0,0.0,7.00,90.0
Paul Gallagher,35,ML,Preston,Derby,0,1,0,1381809,01-Jul-20,2,0,1,81.3,1,62,6.77,2,0,1,1,1,0,0,0,6.77,2,0,0,0,1,6.77,1,48,81.3,4.0,1.0,12.0,10.0,1.0,0.0,6.77,72.0
David Nugent,35,FW,Preston,Derby,0,1,0,1381809,01-Jul-20,1,0,0,80.0,6,25,6.39,1,0,0,1,1,0,0,5,6.39,0,0,1,0,2,6.39,0,15,80.0,0.0,0.0,1.0,1.0,0.0,0.0,6.39,59.0
Sean Maguire,26,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,75.0,1,11,6.08,0,0,0,0,1,0,1,1,6.08,0,0,0,0,0,6.08,0,4,75.0,3.0,1.0,0.0,0.0,0.0,0.0,6.08,31.0
Jayden Stockley,26,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,30.0,6,10,6.33,0,0,0,0,0,0,0,0,6.33,0,0,0,0,1,6.33,0,10,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,14.0
Josh Harrop,24,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,1,85.7,0,23,6.31,0,0,1,1,0,0,0,2,6.31,1,0,0,0,0,6.31,1,14,85.7,5.0,1.0,3.0,2.0,1.0,0.0,6.31,18.0
Tom Barkhuizen,27,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,61.5,2,19,6.15,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,6.15,0,13,61.5,2.0,0.0,0.0,0.0,0.0,0.0,6.15,18.0
Patrick Bauer,27,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,0.0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Ryan Ledson,22,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,0.0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Darnell Fisher,26,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,0.0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Connor Ripley,27,Sub,Preston,Derby,0,1,0,1381809,01-Jul-20,0,0,0,0.0,0,0,-,0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
