,Name,Year,Age,Team,Competition,Appearances,Minutes
0,Colin Doyle,2015,30,Birmingham,EC,1,90
1,Colin Doyle,2011,26,Birmingham,EPL,1,49
2,Christian Walton,2020,24,Blackburn,EC,46,4140
3,Christian Walton,2019,23,Wigan,EC,34,3060
4,Christian Walton,2015,19,Brighton,EC,3,270
5,Lee Nicholls,2015,22,Wigan,EC,1,90
6,Lee Nicholls,2014,21,Wigan,UEL,2,180
7,Lee Nicholls,2014,21,Wigan,EC,6,540
8,Jack Butland,2020,27,Stoke,EC,35,3150
9,Jack Butland,2019,26,Stoke,EC,45,4050
10,Jack Butland,2018,25,Stoke,EPL,35,3150
11,Jack Butland,2017,24,Stoke,EPL,5,450
12,Jack Butland,2016,23,Stoke,EPL,31,2790
13,Jack Butland,2015,22,England U21,IEU,3,270
14,Jack Butland,2015,22,Derby,EC,6,540
15,Jack Butland,2015,22,Stoke,EPL,3,270
16,Jack Butland,2014,21,Leeds,EC,16,1440
17,Jack Butland,2014,21,Barnsley,EC,13,1170
18,Jack Butland,2014,21,Stoke,EPL,3,225
19,Jack Butland,2013,20,England U21,IEU,2,180
20,Simon Eastwood,2020,31,Oxford,EL1,32,2910
21,Simon Eastwood,2015,26,Blackburn,EC,6,540
22,Simon Eastwood,2014,25,Blackburn,EC,7,630
23,Heurelho Gomes,2018,37,Watford,EPL,24,2129
24,Heurelho Gomes,2017,36,Watford,EPL,38,3339
25,Heurelho Gomes,2016,35,Watford,EPL,38,3397
26,Heurelho Gomes,2015,34,Watford,EC,44,3933
27,Heurelho Gomes,2013,32,Hoffenheim,GB,9,774
28,Heurelho Gomes,2011,30,Tottenham,UCL,8,641
29,Heurelho Gomes,2011,30,Tottenham,EPL,30,2700
30,Heurelho Gomes,2010,29,Tottenham,EPL,31,2717
31,David Button,2019,30,Brighton,EPL,4,360
32,David Button,2018,29,Fulham,EC,20,1800
33,David Button,2017,28,Fulham,EC,40,3600
34,David Button,2016,27,Brentford,EC,46,4140
35,David Button,2015,26,Brentford,EC,48,4320
36,Tomasz Kuszczak,2018,36,Birmingham,EC,10,900
37,Tomasz Kuszczak,2017,35,Birmingham,EC,38,3332
38,Tomasz Kuszczak,2016,34,Birmingham,EC,41,3690
39,Tomasz Kuszczak,2015,33,Wolverhampton..,EC,13,1170
40,Tomasz Kuszczak,2014,32,Brighton,EC,43,3870
41,Tomasz Kuszczak,2011,29,Manchester Un..,UCL,2,180
42,Tomasz Kuszczak,2011,29,Manchester Un..,EPL,5,450
43,Tomasz Kuszczak,2010,28,Manchester Un..,UCL,2,180
44,Tomasz Kuszczak,2010,28,Manchester Un..,EPL,8,720
45,Ben Amos,2019,29,Millwall,EC,12,1080
46,Ben Amos,2017,27,Cardiff,EC,16,1440
47,Ben Amos,2016,26,Bolton,EC,40,3521
48,Ben Amos,2015,25,Bolton,EC,9,745
49,Ben Amos,2012,22,Manchester Un..,EPL,1,90
50,Ben Amos,2011,21,Manchester Un..,UCL,1,90
51,Chris Kirkland,2016,35,Preston,EC,5,405
52,Chris Kirkland,2015,34,Sheffield Wed..,EC,4,284
53,Chris Kirkland,2014,33,Sheffield Wed..,EC,35,3150
54,Chris Kirkland,2011,30,Wigan,EPL,4,332
55,Chris Kirkland,2010,29,Wigan,EPL,32,2770
56,Stephen Henderson,2017,29,Nottingham Fo..,EC,12,994
57,Stephen Henderson,2016,28,Charlton,EC,22,1980
58,Stephen Henderson,2015,27,Charlton,EC,31,2723
59,Stephen Henderson,2014,26,Bournemouth,EC,2,105
60,Nick Pope,2020,28,Burnley,EPL,37,3330
61,Nick Pope,2018,26,Burnley,EPL,35,3114
62,Nick Pope,2016,24,Charlton,EC,24,2160
63,Nick Pope,2015,23,Charlton,EC,8,653
64,Marco Silvestri,2020,29,Verona,ISA,35,3150
65,Marco Silvestri,2018,27,Verona,ISA,2,180
66,Marco Silvestri,2016,25,Leeds,EC,45,4049
67,Marco Silvestri,2015,24,Leeds,EC,43,3870
68,Marco Silvestri,2014,23,Cagliari,ISA,3,234
69,Emiliano Martínez,2020,27,Arsenal,EPL,8,680
70,Emiliano Martínez,2020,27,Arsenal,UEL,6,540
71,Emiliano Martínez,2019,26,Reading,EC,18,1620
72,Emiliano Martínez,2019,26,Arsenal,UEL,1,90
73,Emiliano Martínez,2018,25,Getafe,SLL,5,450
