,Name,Year,Age,Team,Competition,Appearances,Minutes
0,Víctor Valdés,2017,35,Middlesbrough,EPL,28,2520
1,Víctor Valdés,2015,33,Manchester Un..,EPL,2,106
2,Víctor Valdés,2014,32,Barcelona,SLL,26,2278
3,Víctor Valdés,2014,32,Barcelona,UCL,6,540
4,Víctor Valdés,2013,31,Spain,ICC,1,90
5,Víctor Valdés,2013,31,Barcelona,SLL,31,2790
6,Víctor Valdés,2013,31,Barcelona,UCL,11,990
7,Víctor Valdés,2012,30,Barcelona,SLL,35,3150
8,Víctor Valdés,2012,30,Barcelona,UCL,11,990
9,Víctor Valdés,2011,29,Barcelona,SLL,32,2880
10,Víctor Valdés,2011,29,Barcelona,UCL,11,990
11,Víctor Valdés,2010,28,Barcelona,SLL,38,3420
12,Víctor Valdés,2010,28,Barcelona,UCL,11,990
13,Boaz Myhill,2018,35,West Bromwich..,EPL,1,90
14,Boaz Myhill,2016,33,West Bromwich..,EPL,23,2070
15,Boaz Myhill,2015,32,West Bromwich..,EPL,11,934
16,Boaz Myhill,2014,31,West Bromwich..,EPL,14,1260
17,Boaz Myhill,2013,30,West Bromwich..,EPL,8,720
18,Boaz Myhill,2011,28,West Bromwich..,EPL,6,540
19,Boaz Myhill,2010,27,Hull,EPL,27,2430
20,Costel Pantilimon,2019,32,Nottingham Fo..,EC,44,3960
21,Costel Pantilimon,2018,31,Deportivo La ..,SLL,6,540
22,Costel Pantilimon,2018,31,Nottingham Fo..,EC,13,1170
23,Costel Pantilimon,2017,30,Watford,EPL,2,81
24,Costel Pantilimon,2016,29,Sunderland,EPL,17,1530
25,Costel Pantilimon,2015,28,Sunderland,EPL,28,2520
26,Costel Pantilimon,2014,27,Manchester Ci..,UCL,1,90
27,Costel Pantilimon,2014,27,Manchester Ci..,EPL,7,630
28,Lukasz Fabianski,2020,35,West Ham,EPL,24,2029
29,Lukasz Fabianski,2019,34,West Ham,EPL,38,3420
30,Lukasz Fabianski,2019,34,Poland,UNL,2,180
31,Lukasz Fabianski,2018,33,Swansea,EPL,38,3420
32,Lukasz Fabianski,2017,32,Swansea,EPL,37,3330
33,Lukasz Fabianski,2018,33,Poland,WC,1,90
34,Lukasz Fabianski,2016,31,Swansea,EPL,37,3330
35,Lukasz Fabianski,2015,30,Swansea,EPL,37,3308
36,Lukasz Fabianski,2016,31,Poland,UEC,4,420
37,Lukasz Fabianski,2014,29,Arsenal,UCL,2,141
38,Lukasz Fabianski,2014,29,Arsenal,EPL,1,90
39,Lukasz Fabianski,2013,28,Arsenal,UCL,1,90
40,Lukasz Fabianski,2013,28,Arsenal,EPL,4,360
41,Lukasz Fabianski,2012,27,Arsenal,UCL,1,28
42,Lukasz Fabianski,2011,26,Arsenal,UCL,5,450
43,Lukasz Fabianski,2011,26,Arsenal,EPL,14,1260
44,Lukasz Fabianski,2010,25,Arsenal,UCL,1,90
45,Lukasz Fabianski,2010,25,Arsenal,EPL,4,360
46,David Ospina,2020,31,Napoli,ISA,15,1290
47,David Ospina,2020,31,Napoli,UCL,1,90
48,David Ospina,2019,30,Colombia,ICA,3,300
49,David Ospina,2019,30,Napoli,ISA,17,1457
50,David Ospina,2019,30,Napoli,UCL,6,540
51,David Ospina,2018,29,Arsenal,UEL,10,900
52,David Ospina,2018,29,Arsenal,EPL,5,380
53,David Ospina,2017,28,Arsenal,UCL,8,720
54,David Ospina,2017,28,Arsenal,EPL,2,142
55,David Ospina,2018,29,Colombia,WC,4,390
56,David Ospina,2016,27,Arsenal,UCL,3,270
57,David Ospina,2016,27,Arsenal,EPL,4,360
58,David Ospina,2015,26,Colombia,ICA,4,391
59,David Ospina,2015,26,Arsenal,UCL,3,208
