,Name,Club,Age,Apps,Mins,Total,SixYardBox,PenaltyArea,OutOfBox,PassTotal,AccLB,InAccLB,AccSP,InAccSP,Rating
0,John Ruddy,Wolverhampton Wanderers,32,1,90,3,0,3,0,19,9,6,4,0,7.19
1,Paulo Gazzaniga,Tottenham,27,3,270,11,0,7,4,95,18,32,43,2,7.14
2,Mark Travers,Bournemouth,20,2,180,9,0,6,3,43,7,15,21,0,7.08
3,Petr Cech,Arsenal,37,7,588,28,3,13,12,224,38,66,115,5,7.05
4,Lukasz Fabianski,West Ham,34,38,3420,144,13,87,44,1071,323,538,209,1,7.02
5,Hugo Lloris,Tottenham,32,33,2970,100,5,65,30,1047,221,267,550,9,6.96
6,Michel Vorm,Tottenham,35,2,180,9,0,6,3,44,5,9,29,1,6.85
7,Willy Caballero,Chelsea,37,2,180,3,0,1,2,54,15,12,27,0,6.83
8,Alisson,Liverpool,26,38,3420,74,7,43,24,1076,183,205,681,7,6.79
9,Vicente Guaita,Crystal Palace,32,20,1755,63,2,39,22,499,125,286,87,1,6.74
10,Artur Boruc,Bournemouth,39,12,1080,38,4,19,15,286,69,122,94,1,6.72
11,Neil Etheridge,Cardiff,29,38,3420,138,3,95,40,1144,346,770,24,4,6.72
12,Ben Foster,Watford,36,38,3420,124,6,77,41,1151,365,633,151,2,6.69
13,David Button,Brighton,30,4,360,13,0,7,6,99,27,62,10,0,6.69
14,Ederson,Manchester City,25,38,3420,58,4,33,21,920,125,152,635,8,6.66
15,Bernd Leno,Arsenal,27,31,2790,101,4,60,37,904,154,274,472,4,6.66
16,Fabri,Fulham,31,2,180,16,1,11,4,47,16,15,16,0,6.63
17,Kepa Arrizabalaga,Chelsea,24,36,3240,82,7,37,38,1003,188,137,669,9,6.63
18,Martin Dubravka,Newcastle United,30,38,3420,94,11,54,29,1033,281,477,271,4,6.62
19,Tom Heaton,Burnley,33,19,1710,59,2,35,22,541,188,290,62,1,6.61
20,Joe Hart,Burnley,32,19,1710,76,7,44,25,565,205,311,49,0,6.61
21,Wayne Hennessey,Crystal Palace,32,17,1530,43,2,27,14,440,116,231,92,1,6.6
22,Alex McCarthy,Southampton,29,25,2250,78,7,49,22,585,140,321,123,1,6.58
23,Sergio Rico,Fulham,25,29,2610,111,13,69,29,795,266,365,162,2,6.57
24,Kasper Schmeichel,Leicester,32,38,3420,90,8,53,29,1118,351,375,381,11,6.54
25,David de Gea,Manchester United,28,38,3420,120,9,54,57,948,299,371,270,8,6.52
26,Jonas Lössl,Huddersfield,30,30,2700,84,4,55,25,969,316,371,281,1,6.5
27,Jordan Pickford,Everton,25,38,3420,92,10,45,37,1118,285,491,338,4,6.5
28,Rui Patrício,Wolverhampton Wanderers,31,37,3330,96,11,46,39,759,254,349,153,3,6.45
29,Marcus Bettinelli,Fulham,27,7,630,20,3,13,4,211,66,81,62,2,6.45
30,Mat Ryan,Brighton,27,34,3060,97,9,47,41,926,331,458,133,4,6.41
31,Angus Gunn,Southampton,23,12,1080,32,1,16,15,289,74,187,28,0,6.37
32,Fraser Forster,Southampton,31,1,90,3,0,2,1,19,5,13,1,0,6.36
33,Joel Coleman,Huddersfield,23,1,90,2,1,0,1,37,7,23,7,0,6.32
34,Asmir Begovic,Bournemouth,32,24,2160,59,4,32,23,530,137,206,185,2,6.25
35,Ben Hamer,Huddersfield,31,7,553,22,3,12,7,191,61,106,24,0,5.99
36,Julian Speroni,Crystal Palace,40,1,90,5,0,4,1,32,10,20,2,0,5.45
